
#################################################################
# Summary Statistics
#################################################################

                  Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.Inshore.CI_1   0.553 0.062 0.414 0.445 0.516 0.557 0.594 0.644 0.660
p.Offshore.CI_1  0.447 0.062 0.340 0.356 0.406 0.443 0.484 0.555 0.586
p.Inshore.CI_10  0.211 0.075 0.072 0.096 0.157 0.208 0.259 0.335 0.366
p.Offshore.CI_10 0.789 0.075 0.634 0.665 0.741 0.792 0.843 0.904 0.928
p.Inshore.CI_11  0.275 0.077 0.119 0.145 0.224 0.275 0.326 0.399 0.424
p.Offshore.CI_11 0.725 0.077 0.576 0.601 0.674 0.725 0.776 0.855 0.881
p.Inshore.CI_12  0.658 0.091 0.489 0.520 0.596 0.653 0.715 0.809 0.849
p.Offshore.CI_12 0.342 0.091 0.151 0.191 0.285 0.347 0.404 0.480 0.511
p.Inshore.CI_13  0.710 0.090 0.537 0.564 0.647 0.708 0.770 0.863 0.887
p.Offshore.CI_13 0.290 0.090 0.113 0.137 0.230 0.292 0.353 0.436 0.463
p.Inshore.CI_14  0.827 0.077 0.674 0.696 0.774 0.829 0.884 0.949 0.964
p.Offshore.CI_14 0.173 0.077 0.036 0.051 0.116 0.171 0.226 0.304 0.326
p.Inshore.CI_2   0.593 0.089 0.418 0.455 0.536 0.591 0.650 0.745 0.777
p.Offshore.CI_2  0.407 0.089 0.223 0.255 0.350 0.409 0.464 0.545 0.582
p.Inshore.CI_3   0.568 0.068 0.433 0.463 0.527 0.569 0.611 0.674 0.693
p.Offshore.CI_3  0.432 0.068 0.307 0.326 0.389 0.431 0.473 0.537 0.567
p.Inshore.CI_4   0.251 0.072 0.100 0.130 0.206 0.253 0.298 0.370 0.393
p.Offshore.CI_4  0.749 0.072 0.607 0.630 0.702 0.747 0.794 0.870 0.900
p.Inshore.CI_5   0.352 0.075 0.173 0.220 0.310 0.357 0.400 0.466 0.486
p.Offshore.CI_5  0.648 0.075 0.514 0.534 0.600 0.643 0.690 0.780 0.827
p.Inshore.CI_6   0.401 0.077 0.233 0.270 0.355 0.404 0.449 0.519 0.546
p.Offshore.CI_6  0.599 0.077 0.454 0.481 0.551 0.596 0.645 0.730 0.767
p.Inshore.CI_7   0.461 0.074 0.303 0.337 0.417 0.465 0.510 0.577 0.594
p.Offshore.CI_7  0.539 0.074 0.406 0.423 0.490 0.535 0.583 0.663 0.697
p.Inshore.CI_8   0.396 0.077 0.229 0.267 0.350 0.400 0.446 0.519 0.539
p.Offshore.CI_8  0.604 0.077 0.461 0.481 0.554 0.600 0.650 0.733 0.771
p.Inshore.GS_1   0.702 0.091 0.532 0.558 0.642 0.701 0.760 0.855 0.893
p.Offshore.GS_1  0.298 0.091 0.107 0.145 0.240 0.299 0.358 0.442 0.468
p.Inshore.GS_2   0.443 0.085 0.271 0.300 0.390 0.444 0.498 0.578 0.611
p.Offshore.GS_2  0.557 0.085 0.389 0.422 0.502 0.556 0.610 0.700 0.729
p.Inshore.GS_3   0.340 0.081 0.176 0.206 0.286 0.340 0.393 0.471 0.497
p.Offshore.GS_3  0.660 0.081 0.503 0.529 0.607 0.660 0.714 0.794 0.824
p.Inshore.GS_4   0.776 0.086 0.610 0.635 0.719 0.776 0.835 0.922 0.942
p.Offshore.GS_4  0.224 0.086 0.058 0.078 0.165 0.224 0.281 0.365 0.390
